books,authors,movies,released_year,imdb_links
"Birdy (1978),", William Wharton,Birdy,1984,/wiki/List_of_characters_in_the_Conker_series#Birdy
"The Bishop's Wife (1928),", Robert Nathan,The Bishop's Wife,1947,https://www.allmovie.com/movie/v5762
"The Biscuit Eater (1939),", James H. Street,The Biscuit Eater,1940,
"The Bitch (1979),", Jackie Collins,The Bitch,1979,
"The Bitter Tea of General Yen (1932),", Grace Zaring Stone,The Bitter Tea of General Yen,1933,https://www.imdb.com/title/tt0023814/
"Black Alibi (1942),", Cornell Woolrich,The Leopard Man,1943,https://catalog.afi.com/Catalog/moviedetails/542
"The Black Angel (1943),", Cornell Woolrich,Black Angel,1946,
"The Black Arrow: A Tale of the Two Roses (1888),", Robert Louis Stevenson,The Black Arrow,1911,https://librivox.org/search?title=The+Black+Arrow&author=Stevenson&reader=&keywords=&genre_id=0&status=all&project_type=either&recorded_language=&sort_order=catalog_date&search_page=1&search_form=advanced
"The Black Arrow: A Tale of the Two Roses (1888),", Robert Louis Stevenson,Black Arrow,1985,
"Black Beauty (1877),", Anna Sewell,Black Beauty,1921,/wiki/Black_Beauty_(1921_film)
"Black Beauty (1877),", Anna Sewell,Courage of Black Beauty,1958,
"The Black Camel (1929),", Earl Derr Biggers,The Black Camel,1931,https://fadedpage.com/showbook.php?pid=20170337
"The Black Curtain (1941),", Cornell Woolrich,Street of Chance,1942,
"The Black Dahlia (1987),", James Ellroy,The Black Dahlia,2006,https://www.fbi.gov/history/famous-cases/the-black-dahlia
"Black Narcissus (1939),", Rumer Godden,Black Narcissus,1947,https://www.imdb.com/title/tt0039192/
"The Black Path of Fear (1944),", Cornell Woolrich,The Chase,1946,
"The Black Rose (1945),", Thomas B. Costain,The Black Rose,1950,https://www.imdb.com/title/tt0042256/
The Black Stallion (1941 - 1989) (series), Walter Farley ,The Black Stallion,1979,/wiki/The_Black_Stallion_(film)
The Black Stallion (1941 - 1989) (series), Walter Farley ,The Black Stallion Returns,1983,https://www.imdb.com/title/tt0085248/
The Black Stallion (1941 - 1989) (series), Walter Farley ,The Young Black Stallion,2003,https://www.imdb.com/title/tt0318850/
"Black Sunday (1971),", Thomas Harris,Black Sunday,1977,
"The Blackboard Jungle (1954),", Evan Hunter,Blackboard Jungle,1955,https://www.imdb.com/title/tt0047885/
"Blackbeard's Ghost (1965),", Ben Stahl,Blackbeard's Ghost,1968,http://www.ultimatedisney.com/blackbeard.htm
"The Blank Wall (1947),", Elisabeth Sanxay Holding,The Reckless Moment,1949,https://www.imdb.com/title/tt0041786/
"The Blank Wall (1947),", Elisabeth Sanxay Holding,The Deep End,2001,
"Blaze of Noon (1946),", Ernest K. Gann,Blaze of Noon,1947,https://www.tcm.com/tcmdb/title/69000/enwp
"Le Blé en herbe (1923),", Colette,Le Blé en herbe,1954,/wiki/Le_Bl%C3%A9_en_herbe_(1954_film)
"Bleak House (1852–1853) (serial),",Charles Dickens,Bleak House,1920,https://archive.org/stream/bleakhouse00dickiala#page/n9/mode/2up
"Bless the Beasts and Children (1970),", Glendon Swarthout,Bless the Beasts & Children,1971,
"Bless the Child (1993),", Cathy Cash Spellman,Bless the Child,2000,https://www.imdb.com/title/tt0163983/
"The Blessing (1951),", Nancy Mitford,Count Your Blessings,1959,
"Blood and Chocolate (1997),", Annette Curtis Klause,Blood & Chocolate,2007,
"Blood Brother (1947),", Elliott Arnold,Broken Arrow,1950,
"Blood on the Moon (1941) (a.k.a. Gunman's Chance),", Luke Short,Blood on the Moon,1948,https://catalog.afi.com/Catalog/moviedetails/25475
"Blood on the Moon (1984),", James Ellroy,Cop,1988,
"The Blood Oranges (1970),", John Hawkes,The Blood Oranges,1997,https://www.rottentomatoes.com/m/blood_oranges
"Blood Work (1998),", Michael Connelly,Blood Work,2002,
"Blue Fin (1969),", Colin Thiele,Blue Fin,1978,https://www.imdb.com/title/tt0077249/
"The Blue Lagoon (1908),", Henry De Vere Stacpoole,The Blue Lagoon,1923,
"Blueprint (Blaupause) (1999),", Charlotte Kerner,Blueprint,2003,
"The Body (1982),", Stephen King,Stand By Me,1986,
"The Body (1983),", Richard Sapir,The Body,2001,
"The Body Snatchers (1955),", Jack Finney,Invasion of the Body Snatchers,1956,https://www.tcm.com/tcmdb/title/79341/enwp
"The Body Snatchers (1955),", Jack Finney,Body Snatchers,1993,/wiki/Body_Snatchers_(1993_film)
"The Body Snatchers (1955),", Jack Finney,The Invasion,2007,
"The Body Snatchers (1955),", Jack Finney,Invasion of the Pod People,2007,https://www.imdb.com/title/tt1027698/
"Bombaiyer Bombete (1976),", Satyajit Ray,Bombaiyer Bombete,2003,
"The Bonfire of the Vanities (1987),", Tom Wolfe,The Bonfire of the Vanities,1990,/wiki/The_Bonfire_of_the_Vanities_(film)
"Bonjour Tristesse (Hello Sadness) (1954),", Françoise Sagan,Bonjour Tristesse,1958,/wiki/Bonjour_Tristesse_(film)
"Boogiepop and Others (1998),", Kouhei Kadono,Boogiepop and Others,2000,https://www.allmovie.com/movie/v505808
"The Book of Daniel (1971),", E. L. Doctorow,Daniel,1983,/wiki/Daniel_(surname)
"The Border Jumpers (1955),", Will C. Brown,Man of the West,1958,https://www.imdb.com/title/tt0051899/
"The Border Legion (1916),", Zane Grey,The Border Legion,1924,https://www.gutenberg.org/ebooks/4552
"The Border Legion (1916),", Zane Grey,The Last Round-Up,1934,
"Border Town (1934),", Carroll Graham,Bordertown,1935,
"The Borrowers (1952),", Mary Norton,The Borrowers,1973,/wiki/The_Borrowers_(1973_film)
"The Borrowers (1952),", Mary Norton,The Borrower Arrietty,2010,
"The Bostonians (1885–1886) (serial),",Henry James,The Bostonians,1984,https://librivox.org/search?title=The+Bostonians&author=JAMES&reader=&keywords=&genre_id=0&status=all&project_type=either&recorded_language=&sort_order=catalog_date&search_page=1&search_form=advanced
Bourne (1980–2012) (series), Robert Ludlum and Eric Van Lustbader,The Bourne Identity,1988,
Bourne (1980–2012) (series), Robert Ludlum and Eric Van Lustbader,The Bourne Supremacy,2004,
Bourne (1980–2012) (series), Robert Ludlum and Eric Van Lustbader,The Bourne Ultimatum,2007,
Bourne (1980–2012) (series), Robert Ludlum and Eric Van Lustbader,The Bourne Legacy,2012,
"The Boy in the Striped Pyjamas (2006),", John Boyne,The Boy in the Striped Pyjamas,2008,
"Boy on a Dolphin (1955),", David Divine,Boy on a Dolphin,1957,https://www.imdb.com/title/tt0050208/
"The Boys from Brazil (1976),", Ira Levin,The Boys from Brazil,1978,
"The Bravados (1958),", Frank O'Rourke,The Bravados,1958,https://www.imdb.com/title/tt0051433/
"The Brave Bulls (1949),", Thomas C. Lea III,The Brave Bulls,1951,
"The Brave Cowboy (1956),", Edward Abbey,Lonely Are the Brave,1962,https://www.imdb.com/title/tt0056195/
The Brave Little Toaster: A Bedtime Story for Small Appliances (1980) ,Thomas M. Disch,The Brave Little Toaster,1987,https://www.imdb.com/title/tt0092695/
The Brave Little Toaster: A Bedtime Story for Small Appliances (1980) ,Thomas M. Disch,The Brave Little Toaster Goes to Mars,1998,https://www.imdb.com/title/tt0147926/
The Brave Little Toaster: A Bedtime Story for Small Appliances (1980) ,Thomas M. Disch,The Brave Little Toaster to the Rescue,1999,https://www.imdb.com/title/tt0163986/
"Brave New World (1932),", Aldous Huxley,Brave New World,1980,/wiki/Brave_New_World_(1980_film)
"Breakfast of Champions (1973),"," Kurt Vonnegut, Jr.",Breakfast of Champions,1999,/wiki/Breakfast_of_Champions_(film)
"Breakfast on Pluto (1998),", Patrick McCabe,Breakfast on Pluto,2005,
"Breakfast with Scot (1999),", Michael Downing,Breakfast with Scot,2007,https://www.imdb.com/title/tt0910847/
"Breakheart Pass (1974),", Alistair MacLean,Breakheart Pass,1975,
"Breaking Smith's Quarter Horse (1963),", Paul St. Pierre,Smith!,1969,https://www.imdb.com/title/tt0065003/
"The Bride Wore Black (1940),", Cornell Woolrich,The Bride Wore Black,1967,https://www.imdb.com/title/tt0061955/
"Brideshead Revisited, The Sacred & Profane Memories of Captain Charles Ryder (1945),", Evelyn Waugh,Brideshead Revisited,1981,https://archive.org/details/bridesheadrevisi00waug_4
"The Bridge of San Luis Rey (1927),", Thornton Wilder,The Bridge of San Luis Rey,1929,/wiki/The_Bridge_of_San_Luis_Rey_(1929_film)
"Bridge to Terabithia (1977),", Katherine Paterson,Bridge to Terabithia,1985,
"The Bridges at Toko-Ri (1953),", James A. Michener,The Bridges at Toko-Ri,1953,https://www.imdb.com/title/tt0046806/
"The Bridges of Madison County (a. k. a. Love in Black and White) (1992),", Robert James Waller,The Bridges of Madison County,1995,
"Bright Lights, Big City (1984),", Jay McInerney,Bright Lights,,
"Bright Lights, Big City (1984),", Jay McInerney,Big City,1988,
"Brighton Rock (1938),", Graham Greene,Brighton Rock,1947,
"Bringing Out the Dead (1998),", Joe Connelly,Bringing Out the Dead,1999,https://www.imdb.com/title/tt0163988/
"Brødre i Blodet (Brothers by Blood) (1996),", Ingvar Ambjørnsen,Elling,2001,https://www.imdb.com/title/tt0279064/
"Brødre i Blodet (Brothers by Blood) (1996),", Ingvar Ambjørnsen,Mors Elling,2003,
"Brødre i Blodet (Brothers by Blood) (1996),", Ingvar Ambjørnsen,Elsk meg i morgen,2005,https://www.imdb.com/title/tt0472767/
"Brokeback Mountain (1997),", Annie Proulx,Brokeback Mountain,2005,https://www.allmovie.com/movie/v301840
"Brothers in Law (1955),", Henry Cecil,Brothers in Law,1957,
"The Brothers Karamazov (1880),", Fyodor Dostoyevsky,The Brothers Karamazov,1958,/w/index.php?title=The_Brothers_Karamazov_(1915)&action=edit&redlink=1
"Brown's Requiem (1981),", James Ellroy,Brown's Requiem,1998,
"Buddwing (1964),", Evan Hunter,Mister Buddwing,1966,https://www.imdb.com/title/tt0059453/
"Buffalo Girls (1990),", Larry McMurtry,Buffalo Girls,1995,
"Buffalo Soldiers (1993),", Robert O'Connor,Buffalo Soldiers,2003,https://tshaonline.org/handbook/online/articles/qlb01
"Bump in the Night (1988),", Isabelle Holland,Bump in the Night,1991,
"The Burglar in the Closet (1978),", Lawrence Block,Burglar,1987,
"El burlador de Sevilla y convidado de piedra (The Trickster of Seville and the Stone Guest) (1616–1630),", Tirso de Molina,Don Juan,1926,/wiki/Don_Juan_(1913_film)
[[Louis L'Amour#Novels - The Burning Hills (1956) ISBN 0-553-28210-7, Louis L'Amour,The Burning Hills,1956,https://www.imdb.com/title/tt0049036/
"The Burning Shore (1985),", Wilbur Smith,Burning Shore,1991,
"Burton and Speke (1982),", William Harrison,Mountains of the Moon,1990,
"The Busy Body (1966),", Donald E. Westlake,The Busy Body,1967,
"But Gentlemen Marry Brunettes (1927),", Anita Loos,Gentlemen Marry Brunettes,1955,https://www.imdb.com/title/tt0048111/
"BUtterfield 8 (1935),", John O'Hara,BUtterfield 8,1960,https://www.imdb.com/title/tt0053622/
"By the Great Horn Spoon! (1963),", Sid Fleischman,The Adventures of Bullwhip Griffin,1967,https://www.imdb.com/title/tt0061333/
"The Caine Mutiny (1952),", Herman Wouk,The Caine Mutiny,1954,
"The Caine Mutiny (1952),", Herman Wouk,The Caine Mutiny Court-Martial,1955,
"Cal (1983),", Bernard MacLaverty,Cal,1984,
"Call for the Dead (1961),", John le Carré,The Deadly Affair,1966,https://www.imdb.com/title/tt0061556/
"Call It Treason (1949),", George Howe,Decision Before Dawn,1951,https://www.imdb.com/title/tt0043459/
"The Call of the Wild (1903),", Jack London,The Call of the Wild,1935,https://www.gutenberg.org/ebooks/215
"The Call of the Wild (1903),", Jack London,What a Nightmare,,
"The Call of the Wild (1903),", Jack London,Charlie Brown!,1978,
"The Call of the Wild (1903),", Jack London,The Call of the Wild: Dog of the Yukon,1997,
"The Call of the Wild (1903),", Jack London,Call of the Wild,2009,/wiki/Call_of_the_Wild_(1935_film)
"Candy: A Novel of Love and Addiction (1998),", Luke Davies,Candy,2006,/wiki/Category:Candy
"Canterbury Tales (Fourteenth Century),", Geoffrey Chaucer,Canterbury Tales,1972,/wiki/Canterbury_Tales_(musical)
"Canyon Passage (1945),", Ernest Haycox,Canyon Passage,1946,https://www.tcm.com/tcmdb/title/70203/enwp
"Captain Blood: His Odyssey (1922),", Rafael Sabatini,Captain Blood,1924,
"Captain Blood: His Odyssey (1922),", Rafael Sabatini,Fortunes of Captain Blood,1950,https://www.imdb.com/title/tt0042474/
"Captain Blood: His Odyssey (1922),", Rafael Sabatini,Captain Pirate,1952,https://www.imdb.com/title/tt0044475/
"Captain Blood: His Odyssey (1922),", Rafael Sabatini,Fugitive,,
"Captain Blood: His Odyssey (1922),", Rafael Sabatini,UK only),,
"Captain Blood: His Odyssey (1922),", Rafael Sabatini,The Son of Captain Blood,1962,https://www.imdb.com/title/tt0054875/
"Captain Blood: His Odyssey (1922),", Rafael Sabatini,Odyssey of Captain Blood,1991,
"A Captive in the Land (1962),", James Aldridge,A Captive in the Land,1990,https://www.imdb.com/title/tt0099219/
"The Captives (1955),", Elmore Leonard,The Tall T,1957,https://www.imdb.com/title/tt0051047/
"Car, Boy, Girl (1961),", Gordon Buford,Herbie,,
"Car, Boy, Girl (1961),", Gordon Buford,The Love Bug,1968,https://www.imdb.com/title/tt0064603/
"Car, Boy, Girl (1961),", Gordon Buford,Herbie Rides Again,1974,https://www.imdb.com/title/tt0071607/
"Car, Boy, Girl (1961),", Gordon Buford,Herbie Goes to Monte Carlo,1977,https://www.imdb.com/title/tt0076137/
"Car, Boy, Girl (1961),", Gordon Buford,Herbie Goes Bananas,1980,https://d23.com/disney-a-to-z/herbie-goes-bananas-film
"Car, Boy, Girl (1961),", Gordon Buford,Herbie: Fully Loaded,2005,https://www.imdb.com/title/tt0400497/
"The Card (1911),", Arnold Bennett,The Card,1952,https://librivox.org/search?title=The+Card&author=Bennett&reader=&keywords=&genre_id=0&status=all&project_type=either&recorded_language=&sort_order=catalog_date&search_page=1&search_form=advanced
"Careful, He Might Hear You (1963),", Sumner Locke Elliott,Careful,,
"Careful, He Might Hear You (1963),", Sumner Locke Elliott,He Might Hear You,1983,
"Carlito's Way (1975),", Edwin Torres,Carlito's Way: Rise to Power,2005,https://www.imdb.com/title/tt0427038/
"The Carpetbaggers (1961),", Harold Robbins,The Carpetbaggers,,
"The Carpetbaggers (1961),", Harold Robbins,Nevada Smith,1964,https://www.imdb.com/title/tt0060748/
"The Carpetbaggers (1961),", Harold Robbins,Nevada Smith Tv,1975,
"La Casa de los Espíritus (The House of the Spirits) (1982),", Isabel Allende,The House of the Spirits,1993,https://www.imdb.com/title/tt0107151/
"A Case of Need (1968),", Michael Crichton (as Jeffery Hudson),The Carey Treatment,1972,https://www.imdb.com/title/tt0068337/
"Les carnets du Major Thompson (The Trophies of Major Thompson) (1954),", Pierre Daninos,The French,,
"Les carnets du Major Thompson (The Trophies of Major Thompson) (1954),", Pierre Daninos,They Are a Funny Race,1955,
"Case File: FBI (1953),", Gordon Gordon and Mildred Gordon (as John Ripley),Down Three Dark Streets,1954,https://www.imdb.com/title/tt0046928/
"Cash McCall (1955),", Cameron Hawley,Cash McCall,1960,https://www.tcm.com/tcmdb/title/16133/enwp
"Casino Royale (1953),", Ian Fleming,Casino Royale,1967,
"The Castle (1926),", Franz Kafka,The Castle,1968,
"The Castle (1926),", Franz Kafka,Das Schloß,1997,/wiki/Das_Schlo%C3%9F_(opera)
"Car Chaser (1982),", Elmore Leonard,Cat Chaser,1989,https://www.imdb.com/title/tt0097028/
"The Cat That Walked by Himself (1902),", Rudyard Kipling,The Cat Who Walked by Herself,1988,http://www.animator.ru/db/?ver=eng&p=show_film&fid=3367
"Catch-22 (1961),", Joseph Heller,Catch-22,1970,https://archive.org/details/catch2200hell_0
[[Louis L'Amour#Novels - Catlow (1963) ISBN 0-553-24767-0,Louis L'Amour,Catlow,1971,https://catalog.afi.com/Catalog/moviedetails/54072
"The Caveman's Valentine (1994),", George Dawes Green,The Caveman's Valentine,2001,https://www.imdb.com/title/tt0182000/
"Les cerfs-volants (1980),", Romain Gary,Les cerfs-volants,2007,
"Celle qui n'était plus (The Woman Who Was No More (U.S. edition only, 1954)) (1952),", Pierre Boileau and Thomas Narcejac,Les Diaboliques,1955,
"Celle qui n'était plus (The Woman Who Was No More (U.S. edition only, 1954)) (1952),", Pierre Boileau and Thomas Narcejac,Diabolique,1996,
"The Cement Garden (1978),", Ian McEwan,The Cement Garden,1993,
"Centennial (1974),", James A. Michener,Centennial,1978,
"A Certain Mr. Takahashi (1985),", Ann Ireland,The Pianist,1991,
"The Chamber (1994),", John Grisham,The Chamber,1996,
"Champagne (1926),", Walter C. Mycroft,Champagne,1928,
"Changhen Ge (1995),", Wang Anyi,Everlasting Regret,2005,https://www.imdb.com/title/tt0475263/
"Charlie and the Chocolate Factory (1964),", Roald Dahl,Willy Wonka & the Chocolate Factory,1971,https://www.imdb.com/title/tt0067992/
"Charlie and the Chocolate Factory (1964),", Roald Dahl,Charlie and the Chocolate Factory,2005,/wiki/Charlie_and_the_Chocolate_Factory_(film)
"Charlie Chan Carries On (1930),", Earl Derr Biggers,Charlie Chan Carries On,1931,https://fadedpage.com/showbook.php?pid=20181039
"Charlie Chan Carries On (1930),", Earl Derr Biggers,Charlie Chan's Murder Cruise,1940,https://catalog.afi.com/Catalog/moviedetails/843
"Charlie M (1977),", Brian Freemantle,Charlie Muffin,1979,https://www.imdb.com/title/tt0078956/
"Charlotte Gray (1999),", Sebastian Faulks,Charlotte Gray,2001,
"Charlotte's Web (1952),", E. B. White,Charlotte's Web,1973,/wiki/Charlotte%27s_Web_(1973_film)
"Charlotte's Web (1952),", E. B. White,Charlotte's Web 2: Wilbur's Great Adventure,2003,https://www.allmovie.com/movie/v275885
"Chateau Bon Vivant (1969),", Frankie O'Rear and John O'Rear,Snowball Express,1972,https://www.imdb.com/title/tt0069291/
The Cheetah Girls (1999–2006) (series), Deborah Gregory,The Cheetah Girls,2003,/wiki/Category:The_Cheetah_Girls
The Cheetah Girls (1999–2006) (series), Deborah Gregory,The Cheetah Girls 2,2006,https://www.imdb.com/title/tt0800318/
The Cheetah Girls (1999–2006) (series), Deborah Gregory,The Cheetah Girls: One World,2008,https://www.imdb.com/title/tt1013542/
"The Children of Light (1960),", H. L. Lawrence,The Damned,1963,
"The Children of Men (1992),", P. D. James,Children of Men,2006,https://www.imdb.com/title/tt0206634/
"Children of Pleasure (1932),", Larry Barretto,The Crash,1932,
"The Children of Sanchez (1961),", Oscar Lewis,The Children of Sanchez,1978,
"Children of the Covered Wagon (1951),", Mary Jane Carr,Westward Ho,,
"Children of the Covered Wagon (1951),", Mary Jane Carr,the Wagons!,1956,
"China Seas (1934),", Crosbie Garstin,China Seas,1935,
"The Chinese Parrot (1926),", Earl Derr Biggers,The Chinese Parrot,1927,https://fadedpage.com/showbook.php?pid=20180799
